indicator_id,indicator_name,period,year_or_window,scenario,preferred_source,agency,dataset_name,variable,unit,spatial_resolution,temporal_resolution,coverage_years,access_method,api_key_required,source_url,processing_required,conversion_to_100m,resampling_method,availability,limitation,alternative_source,verification_status,existing_asset
H01,평균기온,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 500m high-resolution South Korea scenario,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 500m climate variables,TA,degC,500m source grid,yearly (daily/monthly also available),2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Extract each scenario-year official 500m value; preserve raw files,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 500m,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TA NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the 500m source,Use the established official 1km South Korea detailed file if the 500m file cannot be obtained,FOUR_SSP_TA_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_360DAY; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TA NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H02,평균최고기온,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 500m high-resolution South Korea scenario,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 500m climate variables,TAMAX,degC,500m source grid,yearly (daily/monthly also available),2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Extract each scenario-year official 500m value; preserve raw files,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 500m,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TAMAX NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the 500m source,Use the established official 1km South Korea detailed file if the 500m file cannot be obtained,FOUR_SSP_TAMAX_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_360DAY; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TAMAX NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H03,평균최저기온,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 500m high-resolution South Korea scenario,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 500m climate variables,TAMIN,degC,500m source grid,yearly (daily/monthly also available),2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Extract each scenario-year official 500m value; preserve raw files,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 500m,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TAMIN NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the 500m source,Use the established official 1km South Korea detailed file if the 500m file cannot be obtained,FOUR_SSP_TAMIN_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_360DAY; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TAMIN NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H04,폭염일수,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,HW33,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Use each official yearly HW33 index value for the labeled scenario-year,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly HW33 NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source,Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_HW33_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly HW33 NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H05,열대야일수,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,TR25,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Use each official yearly TR25 index value for the labeled scenario-year,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TR25 NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source,Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_TR25_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TR25 NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H06,온난일 계속기간,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,WSDI,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Use each official yearly WSDI index value for the labeled scenario-year,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,"Four official yearly WSDI NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source; official 5ENSMN source contains some cells where WSDIx exceeds WSDI, and those official values are preserved",Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_WSDI_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly WSDI NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H07,일최고기온 연최대,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,TXx,degC,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Use each official yearly TXx index value for the labeled scenario-year,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TXx NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source,Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_TXx_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TXx NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H08,온난일,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,TX90P,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Use each official yearly TX90P index value for the labeled scenario-year,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TX90P NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source,Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_TX90P_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TX90P NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H09,최대온난일 계속기간,near_future,2026|2027|2028|2029|2030,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,WSDIx,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Use each official yearly WSDIx index value for the labeled scenario-year,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,"Four official yearly WSDIx NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source; official 5ENSMN source contains some cells where WSDIx exceeds WSDI, and those official values are preserved",Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_WSDIx_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly WSDIx NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H01,평균기온,long_term,2040=2031-2040|2050=2041-2050|2060=2051-2060|2070=2061-2070|2080=2071-2080|2090=2081-2090|2100=2091-2100,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 500m high-resolution South Korea scenario,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 500m climate variables,TA,degC,500m source grid,yearly (daily/monthly also available),2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Compute 10-year mean from annual 500m values for each scenario and label window explicitly,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 500m,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TA NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the 500m source,Use the established official 1km South Korea detailed file if the 500m file cannot be obtained,FOUR_SSP_TA_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_360DAY; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TA NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H02,평균최고기온,long_term,2040=2031-2040|2050=2041-2050|2060=2051-2060|2070=2061-2070|2080=2071-2080|2090=2081-2090|2100=2091-2100,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 500m high-resolution South Korea scenario,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 500m climate variables,TAMAX,degC,500m source grid,yearly (daily/monthly also available),2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Compute 10-year mean from annual 500m values for each scenario and label window explicitly,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 500m,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TAMAX NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the 500m source,Use the established official 1km South Korea detailed file if the 500m file cannot be obtained,FOUR_SSP_TAMAX_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_360DAY; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TAMAX NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H03,평균최저기온,long_term,2040=2031-2040|2050=2041-2050|2060=2051-2060|2070=2061-2070|2080=2071-2080|2090=2081-2090|2100=2091-2100,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 500m high-resolution South Korea scenario,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 500m climate variables,TAMIN,degC,500m source grid,yearly (daily/monthly also available),2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Compute 10-year mean from annual 500m values for each scenario and label window explicitly,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 500m,bilinear,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TAMIN NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the 500m source,Use the established official 1km South Korea detailed file if the 500m file cannot be obtained,FOUR_SSP_TAMIN_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_360DAY; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TAMIN NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H04,폭염일수,long_term,2040=2031-2040|2050=2041-2050|2060=2051-2060|2070=2061-2070|2080=2071-2080|2090=2081-2090|2100=2091-2100,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,HW33,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Compute each labeled 10-year arithmetic mean from official yearly HW33 index values,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly HW33 NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source,Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_HW33_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly HW33 NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
H05,열대야일수,long_term,2040=2031-2040|2050=2041-2050|2060=2051-2060|2070=2061-2070|2080=2071-2080|2090=2081-2090|2100=2091-2100,SSP126|SSP245|SSP370|SSP585,KMA AR6 SSP 1km official South Korea extreme-climate index,Korea Meteorological Administration / National Institute of Meteorological Sciences,AR6 SSP 5ENSMN South Korea 1km official extreme-climate indices,TR25,days/year,1km source grid (0.01 degree; 751x601),yearly official index,2021-2100 future projection,Climate Change Situation Map file download; NetCDF,NO API KEY; portal login required for file download,https://climate.go.kr/atlas/ana/cdd,Compute each labeled 10-year arithmetic mean from official yearly TR25 index values,Reproject to EPSG:5179 and align to KOR_100M_EPSG5179_V1; source_resolution remains 1km,nearest,NATIONAL_MASTER_GRID_COMPLETE_MASK_PENDING,Four official yearly TR25 NetCDF files downloaded and validated; nationwide Master Grid base layers complete; apply a separately versioned mask downstream; 100m alignment does not add detail beyond the official 1km source,Derive the same official definition from daily TAMAX/TAMIN only if the official index file becomes unavailable,FOUR_SSP_TR25_RAW_NETCDF_VALIDATED; TIME_AXIS_2021_2100_GREGORIAN; SOURCE_GRID_751X601_0.01DEG; NATIONAL_GRID_5569X6107; 48_GEOTIFF; SHA256_OK; MASK_PENDING_DOWNSTREAM,four raw yearly TR25 NetCDF files; 48 nationwide GeoTIFFs; 48 metadata JSON files; 4 national manifests; test-window assets retained for QA
